Reduced Cell Formula,Working Ion,nZn_max,nAl_max,nMg_max,nK_max,nLi_max,n_alkaline_earth_metals,n_lanthanoids,n_metalloids,n_post_transition_metals,n_reactive_nonmetals,n_transition_metals,n_alkali_metals,n_actinoids,nBe,nSr,nBa,nCa,nPr,nHo,nCe,nTb,nGd,nLa,nLu,nNd,nSi,nGe,nTe,nSb,nAs,nSn,nBi,nGa,nO,nP,nS,nF,nI,nSe,nN,nH,nCl,nBr,nCu,nV,nFe,nTi,nCr,nMn,nNi,nCo,nW,nMo,nTa,nNb,nZr,nSc,nRe,nIr,nAg,nTc,nY,nNa,nLi,nRb,nCs,nU,Average Voltage,V_level_overall,Capacity Grav,C_grav_level_overall,Capacity Vol,C_vol_level_overall,Specific E Wh/kg,specific_e_level_overall,E Density Wh/l,e_density_level_overall,Working_Ion_Number,Working_Ion
ZnFe2(MoO4)3,Zn,1,,,,,0,0,0,0,12,5,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,0.71,Mid,117,Mid,491,Mid,83,Mid,351,Mid,1,Zn
ZnFe(SiO3)2,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1.71,Mid,196,Mid,767,Mid,335,Mid,1311,Mid,1,Zn
ZnFe(Si2O5)2,Zn,1,,,,,0,0,2,0,10,1,0,0,,,,,,,,,,,,,2,,,,,,,,10,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1.95,Mid,136,Mid,443,Mid,265,Mid,864,Mid,1,Zn
ZnFe(GeO3)2,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1.83,Mid,148,Mid,726,Mid,271,Mid,1329,Mid,1,Zn
ZnCu5(TeO6)3,Zn,1,,,,,0,0,3,0,18,5,0,0,,,,,,,,,,,,,,,3,,,,,,18,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1.93,Mid,107,Mid,634,Mid,207,Mid,1224,Mid,1,Zn
ZnCu3(WO3)4,Zn,1,,,,,0,0,0,0,12,7,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,,,,,,-0.48,Low,45,Mid,388,Mid,-22,Low,-185,Low,1,Zn
ZnCu3(SnO3)4,Zn,1,,,,,0,0,0,4,12,3,0,0,,,,,,,,,,,,,,,,,,4,,,12,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,0.44,Mid,58,Mid,385,Mid,26,Mid,171,Mid,1,Zn
ZnCu3(SbO3)4,Zn,1,,,,,0,0,4,0,12,3,0,0,,,,,,,,,,,,,,,,4,,,,,12,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,-0.67,Low,57,Mid,372,Mid,-38,Low,-249,Low,1,Zn
ZnCu3(P2O7)2,Zn,1,,,,,0,0,0,0,18,3,0,0,,,,,,,,,,,,,,,,,,,,,14,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1.58,Mid,89,Mid,351,Mid,140,Mid,554,Mid,1,Zn
ZnCu3(NiO3)4,Zn,1,,,,,0,0,0,0,12,7,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,3,,,,,,4,,,,,,,,,,,,,,,,,,1.96,Mid,79,Mid,469,Mid,154,Mid,918,Mid,1,Zn
ZnCu3(MoO3)4,Zn,1,,,,,0,0,0,0,12,7,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,-0.19,Low,64,Mid,396,Mid,-12,Low,-74,Low,1,Zn
ZnCu(AsO4)2,Zn,1,,,,,0,0,2,0,8,1,0,0,,,,,,,,,,,,,,,,,2,,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2.54,Mid,57,Mid,269,Mid,144,Mid,683,Mid,1,Zn
ZnCr5(TeO6)3,Zn,1,,,,,0,0,3,0,18,5,0,0,,,,,,,,,,,,,,,3,,,,,,18,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1.33,Mid,180,Mid,995,Mid,239,Mid,1319,Mid,1,Zn
ZnCr4(CuO4)3,Zn,1,,,,,0,0,0,0,12,4,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1.18,Mid,82,Mid,448,Mid,96,Mid,527,Mid,1,Zn
ZnCr3(FeO6)2,Zn,1,,,,,0,0,0,0,12,5,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,1.16,Mid,144,Mid,538,Mid,167,Mid,624,Mid,1,Zn
ZnCr2(SiO4)3,Zn,1,,,,,0,0,3,0,12,2,0,0,,,,,,,,,,,,,3,,,,,,,,12,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2.42,Mid,279,Mid,1293,Mid,674,High,3125,High,1,Zn
ZnCr2(GeO4)3,Zn,1,,,,,0,0,3,0,12,2,0,0,,,,,,,,,,,,,,3,,,,,,,12,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2.4,Mid,226,Mid,1205,Mid,544,Mid,2897,High,1,Zn
ZnCr(SO4)2,Zn,1,,,,,0,0,0,0,10,1,0,0,,,,,,,,,,,,,,,,,,,,,8,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3.31,Mid,67,Mid,199,Mid,222,Mid,658,Mid,1,Zn
ZnCr(SiO3)2,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1.03,Mid,199,Mid,744,Mid,204,Mid,764,Mid,1,Zn
